MINYAK (mPa.s),JUMLAH MINYAK (g),SURFAKTAN (HLB),JUMLAH SURFAKTAN (g),FASA AIR (V),JUMLAH FASA AIR (g),Ko-Surfaktan (Rasio),FASA
54.0,8.05,6.5,2.065,0.423,0.7,1.1013333333333333,1
54.0,8.05,6.5,1.875,0.423,0.6,1.0,1
54.0,8.05,6.5,1.875,0.423,0.8,1.0,1
54.0,8.05,6.5,1.875,0.423,0.7,0.9375,1
54.0,8.05,6.5,3.75,0.423,0.7,0.0,1
54.0,8.05,6.5,1.875,0.456,0.7,1.0,1
54.0,7.25,6.5,1.875,0.456,0.7,1.0,1
54.0,8.85,6.5,1.875,0.456,0.7,1.0,1
54.0,8.05,6.5,1.625,0.456,0.7,0.8666666666666667,1
54.0,8.05,6.5,2.065,0.456,0.7,1.1013333333333333,1
54.0,8.05,6.5,1.875,0.456,0.6,1.0,1
54.0,8.05,6.5,1.875,0.456,0.8,1.0,1
54.0,8.05,6.5,1.875,0.456,0.7,0.9375,1
54.0,8.05,6.5,3.75,0.456,0.7,0.0,1
54.0,8.05,6.5,1.875,0.0,0.7,1.0,1
54.0,7.25,6.5,1.875,0.0,0.7,1.0,1
54.0,8.85,6.5,1.875,0.0,0.7,1.0,1
54.0,8.05,6.5,1.625,0.0,0.7,0.8666666666666667,1
54.0,8.05,6.5,2.065,0.0,0.7,1.1013333333333333,1
54.0,8.05,6.5,1.875,0.0,0.6,1.0,1
54.0,8.05,6.5,1.875,0.0,0.8,1.0,1
54.0,8.05,6.5,1.875,0.0,0.7,0.9375,1
54.0,8.05,6.5,3.75,0.0,0.7,0.0,1
10.0,8.05,16.3,1.875,0.423,0.7,1.0,1
10.0,7.25,16.3,1.875,0.423,0.7,1.0,1
10.0,8.85,16.3,1.875,0.423,0.7,1.0,1
10.0,8.05,16.3,1.625,0.423,0.7,0.8666666666666667,1
10.0,8.05,16.3,2.065,0.423,0.7,1.1013333333333333,1
10.0,8.05,16.3,1.875,0.423,0.6,1.0,1
10.0,8.05,16.3,1.875,0.423,0.8,1.0,1
10.0,8.05,16.3,1.875,0.423,0.7,0.9375,1
10.0,8.05,16.3,3.75,0.423,0.7,0.0,1
10.0,8.05,16.3,1.875,0.0,0.7,1.0,1
10.0,7.25,16.3,1.875,0.0,0.7,1.0,1
10.0,8.85,16.3,1.875,0.0,0.7,1.0,1
10.0,8.05,16.3,1.625,0.0,0.7,0.8666666666666667,1
